frame_idx,timestamp,u,v,depth_m,u_next,v_next
0,1614257535.545941353,226.000,76.000,15.4130,220.400,75.276
0,1614257535.545941353,203.000,30.000,14.6686,197.025,29.012
0,1614257535.545941353,547.000,157.000,54.2837,543.169,156.931
0,1614257535.545941353,218.000,65.000,15.1044,212.297,64.255
0,1614257535.545941353,339.000,79.000,22.5115,334.668,78.606
0,1614257535.545941353,167.000,24.000,14.7882,160.397,22.551
0,1614257535.545941353,202.000,78.000,16.3843,196.073,77.246
0,1614257535.545941353,747.000,93.000,31.9685,742.376,93.094
0,1614257535.545941353,679.000,94.000,38.3095,674.594,94.038
0,1614257535.545941353,722.000,96.000,34.9321,717.452,96.078
0,1614257535.545941353,138.000,15.000,13.4076,130.923,13.593
0,1614257535.545941353,122.000,53.000,10.6152,114.401,51.722
0,1614257535.545941353,94.000,5.000,12.2310,85.934,3.107
0,1614257535.545941353,754.000,132.000,38.7526,749.122,132.052
0,1614257535.545941353,149.000,9.000,14.0648,142.217,7.461
0,1614257535.545941353,253.000,72.000,9.0316,247.298,71.425
0,1614257535.545941353,708.000,101.000,31.4578,703.594,101.066
0,1614257535.545941353,156.000,52.000,15.7424,148.988,50.679
0,1614257535.545941353,105.000,35.000,7.5539,96.500,33.412
0,1614257535.545941353,96.000,48.000,7.7834,87.467,46.439
0,1614257535.545941353,128.000,2.000,12.2873,120.405,0.145
0,1614257535.545941353,406.000,96.000,35.6694,402.112,95.750
0,1614257535.545941353,234.000,138.000,16.8442,228.745,138.074
0,1614257535.545941353,320.000,84.000,22.6373,315.567,83.628
0,1614257535.545941353,739.000,104.000,33.4657,734.399,104.065
0,1614257535.545941353,151.000,73.000,10.6732,144.408,72.096
0,1614257535.545941353,720.000,38.000,32.2513,715.518,38.163
0,1614257535.545941353,180.000,39.000,15.2612,173.590,37.700
0,1614257535.545941353,757.000,57.000,28.6356,752.364,57.219
0,1614257535.545941353,192.000,16.000,8.9579,185.393,14.440
0,1614257535.545941353,283.000,48.000,8.9874,277.552,46.878
0,1614257535.545941353,190.000,32.000,7.1662,183.360,30.696
0,1614257535.545941353,135.000,36.000,12.6213,127.891,34.683
0,1614257535.545941353,704.000,80.000,26.5914,699.767,80.088
0,1614257535.545941353,728.000,146.000,43.9687,723.347,145.968
0,1614257535.545941353,717.000,79.000,33.3490,712.530,79.144
0,1614257535.545941353,368.000,100.000,28.0121,363.897,99.719
0,1614257535.545941353,104.000,13.000,12.0911,95.799,11.207
0,1614257535.545941353,190.000,52.000,15.5897,183.749,50.816
0,1614257535.545941353,748.000,28.000,30.4055,743.403,28.217
0,1614257535.545941353,45.000,5.000,10.9692,35.209,2.349
0,1614257535.545941353,454.000,97.000,21.7756,450.205,96.787
0,1614257535.545941353,188.000,87.000,12.4772,181.713,86.372
0,1614257535.545941353,325.000,125.000,22.1990,320.584,124.774
0,1614257535.545941353,763.000,83.000,29.3773,758.350,83.106
0,1614257535.545941353,204.000,52.000,15.5817,197.940,50.868
0,1614257535.545941353,215.000,3.000,14.9991,209.043,1.253
0,1614257535.545941353,326.000,100.000,22.0052,321.571,99.654
0,1614257535.545941353,376.000,87.000,28.7020,371.936,86.702
0,1614257535.545941353,122.000,91.000,12.8718,114.124,90.243
0,1614257535.545941353,389.000,117.000,15.4829,384.887,116.861
0,1614257535.545941353,93.000,29.000,12.0156,84.617,27.131
0,1614257535.545941353,165.000,84.000,11.2375,158.160,83.218
0,1614257535.545941353,309.000,94.000,12.5040,304.453,93.666
0,1614257535.545941353,762.000,107.000,28.6041,757.331,107.069
0,1614257535.545941353,26.000,103.000,70.9391,19.570,102.625
0,1614257535.545941353,591.000,147.000,80.5734,586.950,146.948
0,1614257535.545941353,338.000,101.000,22.0355,333.640,100.680
0,1614257535.545941353,70.000,37.000,10.9440,61.180,35.464
0,1614257535.545941353,121.000,67.000,9.9149,113.449,65.821
0,1614257535.545941353,151.000,32.000,8.5123,143.833,30.608
0,1614257535.545941353,725.000,109.000,35.3816,720.448,109.063
0,1614257535.545941353,755.000,148.000,39.2217,750.073,147.965
0,1614257535.545941353,138.000,49.000,9.3714,130.450,47.618
0,1614257535.545941353,19.000,121.000,72.7438,12.529,120.765
