# timestamp_ns, tran_x, tran_y, tran_z, quat_x, quat_y, quat_z, quat_w, scale, fusion_quality, v3
1602143852246626816,0.045161,0.231061,-0.046488,0.005074,-0.671542,0.740947,0.001989,0.953278,2
1602143852279627008,0.044984,0.211115,-0.044290,0.005156,-0.671339,0.741130,0.002011,0.953278,2
1602143852312626944,0.044918,0.189288,-0.041500,0.005226,-0.671105,0.741341,0.002007,0.953278,2
1602143852345627136,0.046074,0.168229,-0.038332,0.005296,-0.670963,0.741469,0.002015,0.953278,2
1602143852378627072,0.046379,0.143780,-0.035354,0.005423,-0.670775,0.741639,0.002040,0.953278,2
1602143852444627456,0.047805,0.090723,-0.028519,0.005580,-0.670570,0.741823,0.002095,0.953278,2
1602143852477627392,0.048277,0.060986,-0.024665,0.005620,-0.670534,0.741855,0.002109,0.953278,2
1602143852774628096,0.055148,-0.286734,0.022827,0.006398,-0.670735,0.741668,0.001806,0.953278,2
1602143853104628992,0.063420,-0.828983,0.095410,0.007043,-0.669417,0.742853,0.000810,0.953278,2
1602143853500629760,0.080839,-1.749083,0.228640,0.007988,-0.669765,0.742529,-0.000929,0.953278,2
1602143853797630464,0.116131,-2.655694,0.355467,0.010526,-0.670587,0.741755,-0.000880,0.953278,2
1602143854061631232,0.154900,-3.591756,0.492380,0.014382,-0.670708,0.741582,-0.000466,0.953278,2
1602143854325631744,0.179161,-4.629409,0.638144,0.014563,-0.671378,0.740951,-0.005537,0.953278,2
1602143854556632320,0.222046,-5.604686,0.770075,0.017253,-0.671321,0.740936,-0.006626,0.953278,2
1602143854787632896,0.296442,-6.643901,0.922975,0.021749,-0.673062,0.739246,-0.005500,0.953278,2
1602143855018633472,0.333959,-7.727885,1.061630,0.021902,-0.672053,0.740111,-0.010039,0.953278,2
1602143855249634048,0.402114,-8.861823,1.217612,0.024916,-0.673263,0.738918,-0.009871,0.953278,2
1602143855447634432,0.475175,-9.849054,1.354475,0.027488,-0.673908,0.738237,-0.009957,0.953278,2
1602143855645635072,0.534117,-10.843345,1.491967,0.028584,-0.674493,0.737639,-0.011440,0.953278,2
1602143855810635520,0.596854,-11.676829,1.598601,0.030585,-0.676152,0.736054,-0.010365,0.953278,2
1602143855975635712,0.655015,-12.513330,1.718703,0.029420,-0.677623,0.734707,-0.012964,0.953278,2
1602143856140636160,0.687816,-13.351729,1.839121,0.026338,-0.677900,0.734460,-0.018051,0.953278,2
1602143856305636608,0.739083,-14.181803,1.947329,0.025641,-0.674932,0.737180,-0.019388,0.953278,2
1602143856437636864,0.799951,-14.836659,2.037424,0.027152,-0.671879,0.739933,-0.018438,0.953278,2
1602143856569637120,0.836509,-15.500138,2.135397,0.024953,-0.670201,0.741410,-0.022791,0.953278,2
1602143856701637376,0.864331,-16.169672,2.234544,0.022872,-0.669258,0.742205,-0.026494,0.953278,2
1602143856833637888,0.910911,-16.833972,2.329534,0.022238,-0.668047,0.743298,-0.026960,0.953278,2
1602143856965638144,0.976026,-17.507085,2.437712,0.024224,-0.669136,0.742398,-0.022711,0.953278,2
1602143857097638400,1.026301,-18.180485,2.537676,0.024001,-0.671243,0.740582,-0.019874,0.953278,2
